"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Greece (GR)","04.01.2017 16:00 - 04.01.2017 17:00 (CET)","n/e","2515","n/e","3179","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8","n/e","n/e","798"
"Greece (GR)","04.01.2017 17:00 - 04.01.2017 18:00 (CET)","n/e","2447","n/e","3252","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","827"
"Greece (GR)","04.01.2017 18:00 - 04.01.2017 19:00 (CET)","n/e","2425","n/e","3265","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","794"
"Greece (GR)","04.01.2017 19:00 - 04.01.2017 20:00 (CET)","n/e","2457","n/e","3267","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","767"
"Greece (GR)","04.01.2017 20:00 - 04.01.2017 21:00 (CET)","n/e","2479","n/e","3273","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","695"
"Greece (GR)","04.01.2017 21:00 - 04.01.2017 22:00 (CET)","n/e","2502","n/e","3212","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","702"
"Greece (GR)","04.01.2017 22:00 - 04.01.2017 23:00 (CET)","n/e","2509","n/e","2624","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","717"
"Greece (GR)","04.01.2017 23:00 - 05.01.2017 00:00 (CET)","n/e","2493","n/e","1969","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","643"
"Greece (GR)","05.01.2017 00:00 - 05.01.2017 01:00 (CET)","n/e","2302","n/e","1516","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","612"
"Greece (GR)","05.01.2017 01:00 - 05.01.2017 02:00 (CET)","n/e","2053","n/e","1532","n/e","0","n/e","n/e","N/A","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","600"
