"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|GR","04.01.2020 19:00 - 04.01.2020 20:00 (CET)","n/e","1424","n/e","3111","n/e","0","n/e","n/e","n/e","33","","n/e","967","n/e","n/e","n/e","n/e","0","n/e","n/e","265"
"BZN|GR","04.01.2020 20:00 - 04.01.2020 21:00 (CET)","n/e","1435","n/e","2932","n/e","0","n/e","n/e","n/e","4","","n/e","499","n/e","n/e","n/e","n/e","0","n/e","n/e","309"
"BZN|GR","04.01.2020 21:00 - 04.01.2020 22:00 (CET)","n/e","1326","n/e","2724","n/e","0","n/e","n/e","n/e","0","","n/e","372","n/e","n/e","n/e","n/e","0","n/e","n/e","339"
"BZN|GR","04.01.2020 22:00 - 04.01.2020 23:00 (CET)","n/e","1197","n/e","2544","n/e","0","n/e","n/e","n/e","0","","n/e","269","n/e","n/e","n/e","n/e","0","n/e","n/e","377"
"BZN|GR","04.01.2020 23:00 - 05.01.2020 00:00 (CET)","n/e","1107","n/e","1947","n/e","0","n/e","n/e","n/e","0","","n/e","293","n/e","n/e","n/e","n/e","0","n/e","n/e","430"
"BZN|GR","05.01.2020 00:00 - 05.01.2020 01:00 (CET)","n/e","1092","n/e","1406","n/e","0","n/e","n/e","n/e","0","","n/e","264","n/e","n/e","n/e","n/e","0","n/e","n/e","457"
"BZN|GR","05.01.2020 01:00 - 05.01.2020 02:00 (CET)","n/e","1098","n/e","1412","n/e","0","n/e","n/e","n/e","0","","n/e","107","n/e","n/e","n/e","n/e","0","n/e","n/e","486"
"BZN|GR","05.01.2020 02:00 - 05.01.2020 03:00 (CET)","n/e","1096","n/e","1144","n/e","0","n/e","n/e","n/e","0","","n/e","104","n/e","n/e","n/e","n/e","0","n/e","n/e","536"
"BZN|GR","05.01.2020 03:00 - 05.01.2020 04:00 (CET)","n/e","1105","n/e","886","n/e","0","n/e","n/e","n/e","0","","n/e","103","n/e","n/e","n/e","n/e","0","n/e","n/e","616"
"BZN|GR","05.01.2020 04:00 - 05.01.2020 05:00 (CET)","n/e","1105","n/e","867","n/e","0","n/e","n/e","n/e","0","","n/e","62","n/e","n/e","n/e","n/e","0","n/e","n/e","649"
